"Variable","Type","Pvalue","SMD","SMD_L","SMD_U","EffectSize","Miss_StableCN","Miss_CNtransitMCI"
"SEX","cat",0.186507605013584,NA,NA,NA,0.327,0,0
"AGE","num",0.292496089721734,-0.266664773121986,-0.685048787210725,0.151719240966753,-0.266664773121986,0,0
"EDUYR","num",0.0212572216246939,-0.476738994729162,-0.896778796659455,-0.0566991927988701,-0.476738994729162,0,0
"gds","num",0.143419447774721,0.282221073085715,-0.136253640935846,0.700695787107276,0.282221073085715,0,0
"kdsq","num",0.364034474016853,-0.0635550502238352,-0.481225932461121,0.35411583201345,-0.0635550502238352,0,0
"visit_count","num",0.792637447889242,-0.0580405243249596,-0.475704270867899,0.35962322221798,-0.0580405243249596,0,0
"MMSE","num",0.54433076079893,0.220981312881444,-0.197165971743571,0.639128597506459,0.220981312881444,0,0
"SNSB_attention","num",0.579793871721916,0.0225025925289349,-0.395130692574841,0.440135877632711,0.0225025925289349,0,0
"SNSB_language","num",0.488947075313631,-0.0842676455396412,-0.501971108842104,0.333435817762821,-0.0842676455396412,0,0
"SNSB_visuospatial","num",0.430107488684151,0.179636209153293,-0.238334976433736,0.597607394740323,0.179636209153293,0,0
"SNSB_memory","num",0.020633569496407,0.133946758300733,-0.283872042358055,0.551765558959521,0.133946758300733,0,0
"SNSB_frontal","num",0.665908962312403,0.0677686150744116,-0.34990815554785,0.485445385696673,0.0677686150744116,0,0
