"Biomarker","AIC","BIC","Marginal_R2","Conditional_R2","RandomInterceptVar","RandomSlopeVar","ConvergenceWarning","SingularFit"
"MMSE",1789.5349263612,1835.69581176694,0.116071850557452,0.57191669228615,NA,NA,NA,NA
"SNSB_attention",1906.95609770694,1953.09455700909,0.247550074783133,0.715909396260307,NA,NA,NA,NA
"SNSB_language",-96.2472687757445,-50.1088094735932,0.348815586120051,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_visuospatial",650.795985300052,696.934444602203,0.242123987383871,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_memory",4131.10142194227,4177.23988124442,0.619399806467931,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"SNSB_frontal",4381.8350944902,4427.97355379236,0.554048217220402,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"bmi",1791.53437601036,1837.6952614161,0.0173081048543232,0.954376390994008,NA,NA,NA,NA
"whr",-1753.72558904788,-1707.58712974573,0.22466729089861,NA,NA,NA,"boundary (singular) fit: see help('isSingular')","singular"
"pbcm",2342.74132581964,2388.90221122538,0.445748244711739,0.931712498287536,NA,NA,NA,NA
"pbf",2761.20451197063,2807.36539737637,0.418989628624089,0.932233815111001,NA,NA,NA,NA
"bmr",5342.04784424262,5388.20872964836,0.70484747166587,0.973354837889352,NA,NA,"Model failed to converge with max|grad| = 0.00317717 (tol = 0.002, component 1)",NA
"ecw_tbw",750.450503934485,796.611389340225,0.156870301126411,0.821509299413532,NA,NA,NA,NA
"tbw_ffm",-56.5509019249364,-10.3900165191967,0.152148147642335,0.74600202686905,NA,NA,NA,NA
"PA50_total",454.158260320313,500.319145726053,0.314026028729495,0.905762568441078,NA,NA,NA,NA
"ECW_ICW_upper",-3211.82140797072,-3165.66052256499,0.108270724877146,NA,NA,NA,NA,NA
"ECW_ICW_lower",-2587.88763844575,-2541.72675304001,0.436876738128541,NA,NA,NA,NA,NA
"Water_Lean_upper",-4913.21343544564,-4867.0525500399,0.0523090552877252,NA,NA,NA,NA,NA
"Water_Lean_lower",-4830.90024935091,-4784.73936394517,0.413873527225963,NA,NA,NA,NA,NA
"R_upper",4394.82284655746,4440.9837319632,0.618080836716453,0.941992272687414,NA,NA,NA,NA
"R_lower",4394.16565608469,4440.32654149043,0.310276962218861,0.855178636237978,NA,NA,NA,NA
"Xc_upper",2454.55365301032,2500.71453841606,0.183586363200258,0.783678429796678,NA,NA,NA,NA
"Xc_lower",2445.09081670199,2491.25170210773,0.0953143605064412,0.795509447353287,NA,NA,NA,NA
"PA_upper",559.067582115211,605.228467520951,0.306609961494299,0.862581280249529,NA,NA,NA,NA
"PA_lower",790.986820905754,837.147706311494,0.208840895688104,0.858262690200348,NA,NA,NA,NA
