"Variable","StableCN","CNtransitMCI","N_StableCN","N_CNtransitMCI","Test","PValue","EffectSize"
"SEX","F: 121 (57.9%) / M: 88 (42.1%)","F: 10 (38.5%) / M: 16 (61.5%)",209,26,"ChiSquare",0.0945092907767907,0.122730296574276
"AGE","71.0 [6.0] [n=209]","72.5 [5.8] [n=26]",209,26,"Mann–Whitney",0.191335107919527,-0.314869821628043
"EDUYR","12.0 [8.0] [n=209]","14.5 [6.0] [n=26]",209,26,"Mann–Whitney",0.013763903457139,-0.496479689663882
"gds","6.0 [10.0] [n=209]","4.0 [4.0] [n=26]",209,26,"Mann–Whitney",0.112545085767035,0.292937260134757
"visit_count","2.0 [0.0] [n=209]","2.0 [0.8] [n=26]",209,26,"Mann–Whitney",0.6613070921138,-0.0631396887680041
"MMSE","28.0 [2.0] [n=209]","28.0 [2.8] [n=26]",209,26,"Mann–Whitney",0.60916101832663,0.175695784278283
"SNSB_attention","10.0 [3.0] [n=209]","9.0 [1.8] [n=26]",209,26,"Mann–Whitney",0.588887842809474,0.0183440974947624
"SNSB_language","0.3 [0.3] [n=209]","0.4 [0.3] [n=26]",209,26,"Mann–Whitney",0.521913685083162,-0.107487386693329
"SNSB_visuospatial","0.7 [0.4] [n=209]","0.5 [0.2] [n=26]",209,26,"Mann–Whitney",0.361592285785873,0.164413883234935
"SNSB_memory","0.3 [0.8] [n=209]","0.2 [0.6] [n=26]",209,26,"Mann–Whitney",0.0553087470516235,0.121735023138023
"SNSB_frontal","0.4 [0.7] [n=209]","0.4 [0.7] [n=26]",209,26,"Mann–Whitney",0.685247349536213,0.0631659387437671
