"","""level""","""CNtransitMCI""","""StableCN""","""p""","""test"""
"""n""","","26","209","",""
"""SEX (%)""","F","10 (38.5)","121 (57.9)","0.095",""
"""""","M","16 (61.5)","88 (42.1)","",""
"""AGE (mean (SD))""","","72.62 (4.71)","71.20 (4.47)","0.130",""
"""EDUYR (mean (SD))""","","14.38 (3.75)","12.18 (4.49)","0.017",""
"""gds (mean (SD))""","","5.77 (6.18)","7.71 (6.65)","0.159",""
"""visit_count (mean (SD))""","","2.31 (0.55)","2.27 (0.55)","0.761",""
"""MMSE (mean (SD))""","","27.62 (2.02)","27.92 (1.68)","0.398",""
"""SNSB_attention (mean (SD))""","","9.77 (2.42)","9.81 (2.10)","0.930",""
"""SNSB_language (mean (SD))""","","0.24 (0.30)","0.21 (0.32)","0.605",""
"""SNSB_visuospatial (mean (SD))""","","0.48 (0.44)","0.54 (0.35)","0.428",""
"""SNSB_memory (mean (SD))""","","0.16 (0.51)","0.69 (4.62)","0.558",""
"""SNSB_frontal (mean (SD))""","","0.36 (0.49)","0.69 (5.38)","0.761",""
